UNITID,INSTNM,control_label,predominant_degree_label,region_label,locale_label,dominant_program,default_rate_pct,net_price,completion_rate,PCTPELL,risk_score,risk_flag
415039,Empire Beauty School-Hanover,Private for-profit,Certificates,Mid East,City,Trades & Applied,0.0,,0.7778,0.4324,0.7236676181978706,1
118958,Modern Beauty Academy,Private for-profit,Certificates,Far West,City,Trades & Applied,2.0,,0.6,0.2816,0.7156087677284684,1
484190,Park Place Premier Barber School,Private for-profit,Certificates,Southeast,City,Trades & Applied,3.0,,0.4375,0.8387,0.7155673917026161,1
190080,Colgate Rochester Crozer Divinity School,Private nonprofit,Graduate,Mid East,City,STEM,4.5,,,,0.7151708991556209,1
203067,Hebrew Union College-Jewish Institute of Religion,Private nonprofit,Graduate,Mid East,City,STEM,0.0,,,,0.7130619624925941,1
381486,Faust Institute of Cosmetology-Spirit Lake,Private for-profit,Certificates,Plains,Town,Trades & Applied,0.0,,0.8,0.5357,0.7128138451414827,1
447865,Trendsetters School of Beauty & Barbering,Private for-profit,Certificates,Southeast,City,Trades & Applied,0.0,,0.8,0.65,0.7109626707345018,1
246789,HJ International Graduate School for Peace and Public Leadership,Private nonprofit,Graduate,Mid East,City,STEM,3.2,,,,0.7108336930881458,1
461713,Pure Aesthetics Natural Skincare School,Private for-profit,Certificates,Southwest,City,Trades & Applied,0.0,,1.0,0.375,0.70910012891435,1
490470,Massage Institute of Memphis,Private for-profit,Certificates,Southeast,City,Health,3.0,,0.8,0.7143,0.7082982044120517,1
456588,Salon Success Academy-Fontana,Private for-profit,Certificates,Far West,Suburb,Trades & Applied,0.0,,0.8333,0.6774,0.7055669590108573,1
417655,Warrensburg Area Career Center,Public,Certificates,Plains,Town,Health,3.3000000000000003,2106.0,0.7333,0.6842,0.7046778107355114,1
159601,Opelousas School of Cosmetology,Private for-profit,Certificates,Southeast,Town,Trades & Applied,5.800000000000001,,0.0714,0.7917,0.7034333047292823,1
190008,Circle in the Square Theatre School,Private nonprofit,Certificates,Mid East,City,Humanities,2.1999999999999997,29537.0,1.0,0.2326,0.702492248151696,1
484923,Dermal Science International Aesthetics and Nail Academy,Private for-profit,Certificates,Southeast,City,Trades & Applied,0.0,,0.8718,0.3053,0.7018026449213544,1
216746,Welder Training and Testing Institute,Private for-profit,Certificates,Mid East,City,Trades & Applied,2.6,,0.9333,0.314,0.7015985856154036,1
206154,Tri-State Bible College,Private nonprofit,Associate's,Great Lakes,Suburb,STEM,3.5000000000000004,,,0.5238,0.6982918245629461,1
457624,Southern Worcester County Regional Vocational School District,Public,Certificates,New England,Rural,Health,4.1000000000000005,32513.0,0.6667,0.3095,0.6979630051346049,1
176451,Wesley Biblical Seminary,Private nonprofit,Graduate,Southeast,Suburb,STEM,2.1999999999999997,,,,0.6971495475514886,1
168032,Rob Roy Academy-Taunton,Private for-profit,Certificates,New England,Suburb,Trades & Applied,0.0,,1.0,0.4048,0.6970053553214735,1
166045,Hebrew College,Private nonprofit,Graduate,New England,City,STEM,2.0,,,,0.6966743596516984,1
441618,Leon Studio One School of Beauty Knowledge,Private for-profit,Certificates,Mid East,Suburb,Trades & Applied,0.0,,0.8333,0.4,0.6964955386869448,1
492652,KCK Beauty & Barber Academy,Private for-profit,Certificates,Southeast,City,Trades & Applied,0.0,,0.8065,0.5581,0.6953034968420839,1
197337,Westchester School of Beauty Culture,Private for-profit,Certificates,Mid East,Suburb,Trades & Applied,3.1,,0.8333,0.5914,0.6952724120477227,1
223117,Baptist Missionary Association Theological Seminary,Private nonprofit,Bachelor's,Southwest,Town,Social Science & Public Service,3.8,,,0.339,0.6951029844595468,1
461388,Diamonds College,Private for-profit,Certificates,Southwest,City,Trades & Applied,0.0,,0.6061,0.527,0.6942147519431776,1
457332,TIGI Hairdressing Academy Guilford,Private for-profit,Certificates,New England,Suburb,Trades & Applied,2.0,,0.75,0.3175,0.6903222868805652,1
162335,Del-Mar-Va Beauty Academy,Private for-profit,Certificates,Mid East,City,Trades & Applied,2.3,,0.6,0.7465,0.6898338812466375,1
442523,Alaska Christian College,Private nonprofit,Associate's,Far West,Rural,Humanities,2.3,5427.0,0.1163,0.7763,0.6897980669732462,1
138956,Augusta Technical College,Public,Certificates,Southeast,City,Trades & Applied,4.1000000000000005,8509.0,0.3077,0.4234,0.6884827778318559,1
475705,Annenberg School of Nursing,Private nonprofit,Certificates,Far West,City,Health,3.0,20811.0,1.0,0.4762,0.6860613466434705,1
451255,DiGrigoli School of Cosmetology,Private for-profit,Certificates,New England,Suburb,Trades & Applied,2.4,,0.84,0.0865,0.6850244055501773,1
476805,University Academy of Hair Design,Private for-profit,Certificates,Southeast,City,Trades & Applied,0.0,,0.7917,0.625,0.6846285496818474,1
366368,New York Academy of Art,Private nonprofit,Graduate,Mid East,City,STEM,0.0,,,,0.6845520948457177,1
