control_label,predominant_degree_label,dominant_program,region_label,locale_label,institutions,avg_default,avg_pell,avg_completion,avg_net_price
Public,Certificates,Humanities,Great Lakes,Suburb,7,0.028571428571428574,0.22965714285714284,0.3877,6368.571428571428
Private for-profit,Certificates,Health,Far West,City,72,0.027777777777777776,0.571975,0.6513810344827585,32980.4
Private nonprofit,Bachelor's,Business,Great Lakes,City,15,0.02666666666666667,0.31642,0.6033692307692308,22829.285714285714
Private for-profit,Certificates,Health,Southeast,Suburb,40,0.025,0.65552,0.650748275862069,32863.5
Private nonprofit,Bachelor's,Business,Great Lakes,Suburb,13,0.023076923076923075,0.3159,0.5117833333333334,22067.666666666668
Private nonprofit,Bachelor's,STEM,New England,Suburb,9,0.022222222222222223,0.17325555555555555,0.8106444444444444,30038.777777777777
Private nonprofit,Graduate,STEM,Far West,City,32,0.021875000000000002,,,
Private for-profit,Certificates,Health,Plains,City,10,0.02,0.68381,0.7392624999999999,25218.5
Private for-profit,Certificates,Health,Great Lakes,City,31,0.019354838709677424,0.6909225806451613,0.63048,28452.0
Private nonprofit,Bachelor's,STEM,Great Lakes,Town,21,0.01904761904761905,0.2722190476190476,0.6276095238095238,21964.904761904763
Private for-profit,Certificates,Trades & Applied,Far West,Suburb,49,0.012244897959183673,0.5141408163265306,0.731860465116279,
Private nonprofit,Bachelor's,Health,Mid East,City,22,0.009090909090909092,0.31628636363636364,0.6329090909090909,23726.85714285714
Private nonprofit,Bachelor's,Health,Mid East,Suburb,22,0.009090909090909092,0.3254772727272727,0.6038681818181818,25490.454545454544
Private nonprofit,Bachelor's,STEM,Great Lakes,City,27,0.007407407407407408,0.2514111111111111,0.7012518518518519,24820.37037037037
Public,Bachelor's,STEM,Great Lakes,City,19,0.005263157894736842,0.2801842105263158,0.6464578947368421,15034.0
Private for-profit,Certificates,Health,Southwest,City,49,0.0020408163265306124,0.6767918367346938,0.6710630434782608,24539.333333333332
Public,Associate's,Trades & Applied,New England,Town,1,0.0,0.2822,0.4286,19607.0
Public,Associate's,Trades & Applied,Far West,Town,1,0.0,0.4745,0.3333,12347.0
Private nonprofit,Graduate,STEM,Plains,Suburb,5,0.0,,,
Public,Associate's,Trades & Applied,Plains,Rural,2,0.0,0.28500000000000003,0.6214500000000001,12549.0
Public,Associate's,Trades & Applied,New England,City,1,0.0,0.253,0.3682,13846.0
Private nonprofit,Graduate,STEM,Plains,Rural,2,0.0,,,
Private nonprofit,Graduate,STEM,Plains,Town,1,0.0,,,
Public,Associate's,Trades & Applied,Mid East,Rural,1,0.0,0.448,,14488.0
Public,Associate's,Trades & Applied,Plains,Town,5,0.0,0.22191999999999998,0.58516,12282.0
Public,Associate's,Trades & Applied,Rocky Mountains,City,1,0.0,0.1856,0.4149,14455.0
Public,Associate's,Trades & Applied,Mid East,City,2,0.0,0.362,0.6,18024.0
Public,Associate's,Trades & Applied,Great Lakes,Town,1,0.0,0.2077,,4067.0
Public,Associate's,Social Science & Public Service,Far West,City,1,0.0,0.0936,0.2133,14742.0
Public,Associate's,Trades & Applied,Far West,City,4,0.0,0.21482500000000002,0.3478,6094.5
Public,Associate's,STEM,Southeast,City,1,0.0,0.5519,0.1656,5568.0
Public,Associate's,STEM,Plains,Town,1,0.0,0.1659,0.5577,8812.0
Private nonprofit,Graduate,STEM,Southwest,City,14,0.0,,,
Private nonprofit,Graduate,STEM,Southeast,Town,1,0.0,,,
Private nonprofit,Graduate,STEM,Southeast,Rural,6,0.0,,,
Public,Associate's,STEM,Rocky Mountains,Rural,1,0.0,0.5804,,9002.0
Private nonprofit,Graduate,STEM,Rocky Mountains,Suburb,2,0.0,,,
Public,Associate's,STEM,Rocky Mountains,Town,1,0.0,0.1848,,7394.0
Public,Associate's,STEM,Southeast,Rural,2,0.0,0.27605,0.34125,8146.0
Public,Associate's,Social Science & Public Service,Southwest,City,1,0.0,0.3009,,5877.0
Public,Associate's,STEM,Southeast,Suburb,3,0.0,0.2622,0.33886666666666665,6525.0
Public,Associate's,STEM,Southwest,City,2,0.0,0.3134,0.2707,7083.0
Public,Associate's,STEM,Southwest,Rural,2,0.0,0.35845000000000005,0.35635,9610.5
Public,Associate's,STEM,Southwest,Town,1,0.0,0.3604,0.2895,15328.0
Public,Associate's,Trades & Applied,Rocky Mountains,Town,3,0.0,0.16190000000000002,0.5066,9010.333333333334
Public,Associate's,Social Science & Public Service,Far West,Rural,1,0.0,0.2786,0.3,7241.0
Private nonprofit,Graduate,STEM,Rocky Mountains,City,1,0.0,,,
